"Step","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score__MIN","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score__MAX","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score__MIN","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score__MAX"
"23000","19.54293055123428","16.659275632692673","22.357567504562873","36.06452741598569","29.32843012862057","46.99018316589387"
"24000","22.654946368460816","18.154448094212448","27.686819175302002","37.32268711951085","26.56089667677574","51.13531519938961"
"25000","22.850938884618472","19.303038118121343","26.4784991796714","33.210716596223186","23.70229345970697","46.91789466842223"
"26000","24.894815624773482","20.820578539050473","27.24911493293178","57.529619029997","33.76524783033783","70.57264590758456"
"27000","19.35711313369083","13.457938897607304","27.074947891264056","52.85030171579251","20.824477823337567","96.8104932391945"
"28000","21.808367642997336","19.49005831848152","23.520711602995014","40.65295532038761","36.4311110607323","44.62600846884695"
"29000","23.001396591593863","21.95189828350824","23.67660094032294","63.253092875736684","49.1496443086551","83.38304102520388"
"30000","25.827853371506023","23.89844931002845","28.047227427995225","54.45889699552088","27.917316809063884","78.15284350361274"
"31000","25.561913975270418","22.936136200061597","29.45519505362983","53.40881609051241","27.154632767963825","74.98023354805372"
"32000","24.2074654717174","21.555860198272878","28.251334773342457","50.92176139422684","29.48315168221748","67.95023914595826"
"33000","25.779351865620033","25.164843924633747","26.52794804733621","41.74901547383996","34.69653124182933","47.99724431240012"
"34000","24.34474876079067","23.076839709472736","25.39150264477167","54.492591915918524","35.65656700748523","81.54443603696566"
"35000","21.26829294147167","16.931014509045905","26.795356164676992","52.134960362835365","28.527233618498787","87.63928850189471"
"36000","23.927290334349504","20.237789734243428","28.244032344091824","70.52248699363169","52.8846995518949","97.36609625998591"
"37000","25.81861855491252","24.14641445873266","27.63265876135615","49.02604303010265","36.59938471171342","60.586616773354784"
"38000","26.541322171279187","24.716972169869845","27.480839050142542","51.22131840322418","39.7523991545975","68.91692473669413"
"39000","22.11519346182648","17.77055056059555","24.9411241647996","48.48823745011766","34.74249167168737","73.73967978486169"
"40000","27.64725190445499","25.53571874107708","29.099222974608423","67.97486427818649","51.10186340385402","86.08251212585529"
"41000","25.283165565050393","18.413103176639332","34.91180381238998","65.26183795955971","31.169918318120992","100.56221106007565"
"42000","23.442558226937418","22.05936262251695","25.5357095238897","68.47148410215632","44.065933481396094","102.9556326903735"
"43000","27.594534659835762","25.325501374436417","30.64393492174328","70.1205940003378","39.37017179010983","91.28725892569835"
"44000","26.648001128663903","22.941826138091052","29.931492399469928","58.3604764368448","44.46051824519738","74.32809745745901"
"45000","27.03193937699287","21.80659089565006","31.41027880323509","68.13687209970509","45.58464702998616","80.8588066459978"
"46000","25.979781334378618","23.83361088415193","27.959884449257586","88.76859582229248","56.130447160697884","105.69144266110202"
"47000","31.899276158645335","29.257339312762927","33.76752785049768","92.24790305122133","80.05421392940556","100.38332431215365"
"48000","29.695037194941744","26.780248956876402","32.43669285689066","74.99923649017335","40.01427749028779","97.66529796635858"
"49000","33.32265229187383","29.682756998671284","35.93134480185981","82.8589016895646","64.79356255964875","102.96101213703848"
"50000","33.478885475843335","28.123768035917116","39.68364455541475","87.70158518864639","58.64786752499273","104.4814761477294"
"51000","35.19751545506062","28.48279712408186","39.177100486642644","70.00902033746293","55.48476391348521","95.14563990155376"
"52000","32.10638236984634","28.928295094576644","35.72396227123289","97.97080469175684","87.58205043193651","104.43846392833684"
"53000","32.016878710140965","30.303320675322848","34.07972103488189","91.84718790445054","75.61089330659378","101.20431161937378"
"54000","28.946655176412296","27.086552725845888","30.80880304445485","78.4495669117407","63.353821596373606","89.66242451273466"
"55000","31.96336731436997","21.800579414044822","45.953193611546666","93.15107475737658","88.300524517806","98.4290075407365"
"56000","40.16584329474691","32.31422695316831","48.23701364160549","91.5180849930618","83.92052448650657","100.73200690121847"
