"Step","Name: ProdTD3HCAC - d4rl_normalized_score","Name: ProdTD3HCAC - d4rl_normalized_score__MIN","Name: ProdTD3HCAC - d4rl_normalized_score__MAX","Name: ProdTD3HCnoLN - d4rl_normalized_score","Name: ProdTD3HCnoLN - d4rl_normalized_score__MIN","Name: ProdTD3HCnoLN - d4rl_normalized_score__MAX","Name: ProdTD3HCBC - d4rl_normalized_score","Name: ProdTD3HCBC - d4rl_normalized_score__MIN","Name: ProdTD3HCBC - d4rl_normalized_score__MAX","Name: ProdTD3HC - d4rl_normalized_score","Name: ProdTD3HC - d4rl_normalized_score__MIN","Name: ProdTD3HC - d4rl_normalized_score__MAX"
"12000","34.467849155348794","30.78462217584148","37.11544832716023","-1.885226166212705","-3.803220996571239","-0.4445230752242688","2.2583301021328523","0.5774304394167841","4.614436025385028","25.800381831295834","16.600694996847558","38.6517138959249"
"13000","42.336687553483046","36.284099846340624","46.0402257153467","-1.7234146298417574","-2.5480943199914603","-0.9158721776819687","3.7601174143935467","0.3677537669269231","6.168267021656444","27.561434115838313","21.345991610868648","34.51723809775786"
"14000","43.39083202548872","39.97780773161211","45.99286477919424","-1.7557289268268876","-3.9285101379148646","0.17024382765370602","4.141332464898998","1.7402533970892455","6.461713175552617","35.333005788661076","32.618259829830784","38.99481824527156"
"15000","44.542118235696734","44.038508408533296","45.00386204516318","-1.2327169826586066","-3.9179487912980906","0.9574572949496102","7.741783497263505","6.073234340259881","10.489967234753045","37.86145985604603","35.02893954366449","42.21949616769183"
"16000","43.96232603915697","41.46241767108968","45.56960202810493","-0.963229280655665","-1.0751367020063056","-0.8649951019353653","4.273200478898663","3.31511205961207","5.304162438257736","40.50577683521024","39.639815830560096","41.202593589375056"
"17000","43.32476481244576","40.001052906941226","45.12193916668044","0.05045197533672182","-0.6206251582945215","0.7849268772605177","11.832621134841881","6.244293881761352","18.785838420166666","39.45506915488107","35.72938819946366","43.857773273798614"
"18000","45.39296959179044","44.579265416266765","46.42205853307203","1.3681105482949014","0.8210447429497657","1.96909197848836","12.921686802841185","3.3730066602138433","23.193309412223392","37.28919678363541","32.231067246596474","40.39343951258373"
"19000","44.7761085557533","43.759461256783","45.29048872343207","3.318129384771295","1.6941104977590087","6.379338291046964","16.31457894514979","14.274035753521982","18.64001534659459","42.18193869452958","37.613487348953996","45.674597747775294"
"20000","45.333272619824164","45.249933407820556","45.400336012979814","1.6063828258053932","0.31767522044336116","2.458595832462266","19.385244862602317","5.837604641386819","34.706785801638986","44.05459470392651","40.52442050225099","46.06620675999815"
"21000","43.901701257690775","41.49666299245374","45.62701149559519","7.3098595992628015","5.173994684454191","8.775198178937478","25.701459587954957","16.73931039017171","30.68418402137064","43.17977476241027","41.151129248000814","45.38889352097406"
"22000","45.197963382884154","44.61084348820773","45.6012089091678","6.6901569609514135","3.4224351468394554","8.972482913170667","38.51086560600097","31.86350290425445","42.28800643739136","43.92255527371091","43.2329736553899","45.266892830424624"
"23000","45.18521874236899","44.80545549493725","45.40820872488517","7.805542946657316","6.165342809107726","8.801437273185268","25.72881640655167","8.552639898335807","39.4921614735274","41.783987303939455","40.68515359676659","42.998018496177956"
"24000","45.51280536643693","45.315905489258306","45.728649309856415","10.397719861114055","6.0125872569428305","15.390696347502034","38.67066165194945","35.36888104694895","40.54923024903216","44.055001615345894","41.474480416797356","46.34687582804624"
"25000","45.37792455790708","45.124419382518944","45.62051980983648","9.315992115164095","7.348619406715205","10.943209296303156","38.35253232260011","34.729011819051365","43.72243848921974","44.56410537950396","42.9943706579721","45.378380451191866"
"26000","45.30257757808804","44.64640359898543","45.74081662294077","9.26380863763491","5.963733202256112","11.098269876118769","41.61275420364715","37.59790056853996","44.078188020270844","45.35164477694567","45.0439504406795","45.73441784093551"
"27000","45.44511042140558","45.04863882676885","46.03491049682156","9.456460941232102","7.633250507137808","10.542096176380955","43.9746054745189","40.851733987051965","45.78455620198094","43.83210691876013","41.4004497026144","45.70270902534265"
