"Step","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score__MIN","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score__MAX"
"11000","26.189043854364137","26.189043854364137","26.189043854364137","48.1669361295117","48.1669361295117","48.1669361295117","41.25453314158575","41.25453314158575","41.25453314158575","42.10765597515198","42.10765597515198","42.10765597515198"
"12000","19.784956385274125","19.784956385274125","19.784956385274125","53.67718079744065","53.67718079744065","53.67718079744065","36.87317864341229","36.87317864341229","36.87317864341229","50.54479006727646","50.54479006727646","50.54479006727646"
"13000","29.10943602461619","29.10943602461619","29.10943602461619","40.78979645500836","40.78979645500836","40.78979645500836","29.961234893911797","29.961234893911797","29.961234893911797","38.80646409495221","38.80646409495221","38.80646409495221"
"14000","22.90645353935457","22.90645353935457","22.90645353935457","45.90008665070548","45.90008665070548","45.90008665070548","29.437508341292112","29.437508341292112","29.437508341292112","49.2184940448947","49.2184940448947","49.2184940448947"
"15000","22.78868662468907","22.78868662468907","22.78868662468907","47.6998442023425","47.6998442023425","47.6998442023425","35.21701469251191","35.21701469251191","35.21701469251191","42.10660419771232","42.10660419771232","42.10660419771232"
"16000","25.869403419397763","25.869403419397763","25.869403419397763","42.44933924564996","42.44933924564996","42.44933924564996","29.545054248541014","29.545054248541014","29.545054248541014","42.4948935395946","42.4948935395946","42.4948935395946"
"17000","29.274137318787126","29.274137318787126","29.274137318787126","39.467224916699344","39.467224916699344","39.467224916699344","26.397117966534587","26.397117966534587","26.397117966534587","55.02329381458604","55.02329381458604","55.02329381458604"
"18000","20.384553298115573","20.384553298115573","20.384553298115573","41.51434675305075","41.51434675305075","41.51434675305075","26.459333823048","26.459333823048","26.459333823048","46.36762806477206","46.36762806477206","46.36762806477206"
"19000","20.509833303075613","20.509833303075613","20.509833303075613","56.70879969033623","56.70879969033623","56.70879969033623","25.844844298796733","25.844844298796733","25.844844298796733","44.312436415935366","44.312436415935366","44.312436415935366"
"20000","23.026108106836453","23.026108106836453","23.026108106836453","63.778376176104615","63.778376176104615","63.778376176104615","27.283117616166745","27.283117616166745","27.283117616166745","49.96887196265633","49.96887196265633","49.96887196265633"
"21000","19.278146361934287","19.278146361934287","19.278146361934287","51.77170175001222","51.77170175001222","51.77170175001222","29.546504106515908","29.546504106515908","29.546504106515908","33.83660600703235","33.83660600703235","33.83660600703235"
"22000","19.686900143179997","19.686900143179997","19.686900143179997","52.83027104756231","52.83027104756231","52.83027104756231","26.225994170431033","26.225994170431033","26.225994170431033","51.733994963692375","51.733994963692375","51.733994963692375"
"23000","20.760793142050275","20.760793142050275","20.760793142050275","42.2862299567561","42.2862299567561","42.2862299567561","28.986491431429307","28.986491431429307","28.986491431429307","47.46796752340617","47.46796752340617","47.46796752340617"
"24000","19.020392835127492","19.020392835127492","19.020392835127492","62.75220435106572","62.75220435106572","62.75220435106572","20.422455329445203","20.422455329445203","20.422455329445203","43.38069855746863","43.38069855746863","43.38069855746863"
"25000","19.36431510111309","19.36431510111309","19.36431510111309","54.27611795384068","54.27611795384068","54.27611795384068","21.320167861649132","21.320167861649132","21.320167861649132","43.9933537669944","43.9933537669944","43.9933537669944"
