"Step","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MAX"
"61000","42.02403593591215","42.02403593591215","42.02403593591215","77.95312895849179","77.95312895849179","77.95312895849179","65.83956106389041","65.83956106389041","65.83956106389041","73.12353434286892","73.12353434286892","73.12353434286892"
"62000","42.06094306769626","42.06094306769626","42.06094306769626","76.36878463719451","76.36878463719451","76.36878463719451","74.34328495530833","74.34328495530833","74.34328495530833","81.18653320758116","81.18653320758116","81.18653320758116"
"63000","52.43532552417823","52.43532552417823","52.43532552417823","79.77751946386898","79.77751946386898","79.77751946386898","81.68055878315351","81.68055878315351","81.68055878315351","78.21612206051375","78.21612206051375","78.21612206051375"
"64000","35.31322107042421","35.31322107042421","35.31322107042421","84.79584852134195","84.79584852134195","84.79584852134195","73.92595765500648","73.92595765500648","73.92595765500648","80.96343615866513","80.96343615866513","80.96343615866513"
"65000","39.193069265730784","39.193069265730784","39.193069265730784","77.81479084140042","77.81479084140042","77.81479084140042","72.13050676022392","72.13050676022392","72.13050676022392","82.95490968790023","82.95490968790023","82.95490968790023"
"66000","54.28033437314023","54.28033437314023","54.28033437314023","73.73780503165884","73.73780503165884","73.73780503165884","80.57122997637582","80.57122997637582","80.57122997637582","84.39714979407741","84.39714979407741","84.39714979407741"
"67000","23.50453217829875","23.50453217829875","23.50453217829875","72.59943483316391","72.59943483316391","72.59943483316391","81.04087073307778","81.04087073307778","81.04087073307778","78.08010447397076","78.08010447397076","78.08010447397076"
"68000","54.388132830310234","54.388132830310234","54.388132830310234","78.22560627583694","78.22560627583694","78.22560627583694","80.22437762404596","80.22437762404596","80.22437762404596","82.42681543601532","82.42681543601532","82.42681543601532"
"69000","47.87573824452364","47.87573824452364","47.87573824452364","76.51050407415477","76.51050407415477","76.51050407415477","75.2313474603155","75.2313474603155","75.2313474603155","80.4657669860041","80.4657669860041","80.4657669860041"
"70000","61.28910764319825","61.28910764319825","61.28910764319825","79.04966691916427","79.04966691916427","79.04966691916427","79.71785065865022","79.71785065865022","79.71785065865022","86.28480323294025","86.28480323294025","86.28480323294025"
"71000","42.53273786577296","42.53273786577296","42.53273786577296","79.7472445290607","79.7472445290607","79.7472445290607","37.172465675132415","37.172465675132415","37.172465675132415","84.68098022529293","84.68098022529293","84.68098022529293"
"72000","50.60472837125209","50.60472837125209","50.60472837125209","65.87752454616121","65.87752454616121","65.87752454616121","70.08815384501857","70.08815384501857","70.08815384501857","75.46662881853383","75.46662881853383","75.46662881853383"
"73000","60.93326447669002","60.93326447669002","60.93326447669002","77.18910272553215","77.18910272553215","77.18910272553215","77.34184606299114","77.34184606299114","77.34184606299114","78.27399993903362","78.27399993903362","78.27399993903362"
"74000","62.86923005709622","62.86923005709622","62.86923005709622","84.82034541693267","84.82034541693267","84.82034541693267","82.73102410609545","82.73102410609545","82.73102410609545","84.66961298688774","84.66961298688774","84.66961298688774"
"75000","44.97866513206243","44.97866513206243","44.97866513206243","77.78273925516578","77.78273925516578","77.78273925516578","79.71893490638239","79.71893490638239","79.71893490638239","84.29989643347359","84.29989643347359","84.29989643347359"
"76000","57.84701367953742","57.84701367953742","57.84701367953742","67.03160294978733","67.03160294978733","67.03160294978733","67.3922165030233","67.3922165030233","67.3922165030233","70.79326311898339","70.79326311898339","70.79326311898339"
"77000","42.14468201952159","42.14468201952159","42.14468201952159","80.01098283295146","80.01098283295146","80.01098283295146","76.43692521898461","76.43692521898461","76.43692521898461","78.7251859576118","78.7251859576118","78.7251859576118"
"78000","78.27623666602412","78.27623666602412","78.27623666602412","78.17121061701243","78.17121061701243","78.17121061701243","75.63529669115584","75.63529669115584","75.63529669115584","56.80210984666159","56.80210984666159","56.80210984666159"
"79000","56.04711176744913","56.04711176744913","56.04711176744913","81.14214816544859","81.14214816544859","81.14214816544859","74.27340710853076","74.27340710853076","74.27340710853076","79.81140686079122","79.81140686079122","79.81140686079122"
"80000","69.31594324548954","69.31594324548954","69.31594324548954","71.5787405500187","71.5787405500187","71.5787405500187","74.72700864130292","74.72700864130292","74.72700864130292","86.42533710992296","86.42533710992296","86.42533710992296"
"81000","76.79876983061257","76.79876983061257","76.79876983061257","83.06583195341969","83.06583195341969","83.06583195341969","83.20605537224341","83.20605537224341","83.20605537224341","73.80416653331532","73.80416653331532","73.80416653331532"
"82000","57.13040294760919","57.13040294760919","57.13040294760919","63.817938406626936","63.817938406626936","63.817938406626936","71.70412359882945","71.70412359882945","71.70412359882945","80.89352987879498","80.89352987879498","80.89352987879498"
"83000","77.39454108216398","77.39454108216398","77.39454108216398","83.43827184319132","83.43827184319132","83.43827184319132","85.11899730503845","85.11899730503845","85.11899730503845","81.82234057338349","81.82234057338349","81.82234057338349"
"84000","69.10410289645745","69.10410289645745","69.10410289645745","78.55709295683934","78.55709295683934","78.55709295683934","83.2422580991701","83.2422580991701","83.2422580991701","80.56358314762723","80.56358314762723","80.56358314762723"
"85000","64.36466492794789","64.36466492794789","64.36466492794789","76.10134771191214","76.10134771191214","76.10134771191214","81.13667872928451","81.13667872928451","81.13667872928451","77.32889369038325","77.32889369038325","77.32889369038325"
"86000","57.44835790856836","57.44835790856836","57.44835790856836","75.83613586593982","75.83613586593982","75.83613586593982","74.77233058768716","74.77233058768716","74.77233058768716","86.02394206930369","86.02394206930369","86.02394206930369"
"87000","70.56000798645633","70.56000798645633","70.56000798645633","75.96336499999903","75.96336499999903","75.96336499999903","82.35543890947865","82.35543890947865","82.35543890947865","83.90961139198704","83.90961139198704","83.90961139198704"
"88000","75.07026185856137","75.07026185856137","75.07026185856137","77.44088231061727","77.44088231061727","77.44088231061727","69.27694820067465","69.27694820067465","69.27694820067465","84.61340467722418","84.61340467722418","84.61340467722418"
"89000","68.456178050766","68.456178050766","68.456178050766","84.68496400914188","84.68496400914188","84.68496400914188","82.34764004428361","82.34764004428361","82.34764004428361","77.96369069378775","77.96369069378775","77.96369069378775"
"90000","4.376386927950785","4.376386927950785","4.376386927950785","70.55147911403876","70.55147911403876","70.55147911403876","80.34512506933027","80.34512506933027","80.34512506933027","84.1425912644406","84.1425912644406","84.1425912644406"
"91000","5.079376095547934","5.079376095547934","5.079376095547934","69.79634582625401","69.79634582625401","69.79634582625401","69.82683953625474","69.82683953625474","69.82683953625474","86.02160983524799","86.02160983524799","86.02160983524799"
"92000","7.247098653151121","7.247098653151121","7.247098653151121","76.21926713556306","76.21926713556306","76.21926713556306","79.87839849659778","79.87839849659778","79.87839849659778","76.96645828870857","76.96645828870857","76.96645828870857"
"93000","7.1330627221384875","7.1330627221384875","7.1330627221384875","73.20186238606057","73.20186238606057","73.20186238606057","78.96527844125016","78.96527844125016","78.96527844125016","77.76620185724009","77.76620185724009","77.76620185724009"
"94000","8.21054139799888","8.21054139799888","8.21054139799888","85.87113746254244","85.87113746254244","85.87113746254244","80.35368740637647","80.35368740637647","80.35368740637647","82.05231642038311","82.05231642038311","82.05231642038311"
"95000","4.70883376257328","4.70883376257328","4.70883376257328","79.93063782551951","79.93063782551951","79.93063782551951","79.6880657087997","79.6880657087997","79.6880657087997","80.06079152896619","80.06079152896619","80.06079152896619"
"96000","16.09250757949135","16.09250757949135","16.09250757949135","76.10841449483276","76.10841449483276","76.10841449483276","75.75726074182863","75.75726074182863","75.75726074182863","85.35224339336882","85.35224339336882","85.35224339336882"
"97000","0.5532636139116215","0.5532636139116215","0.5532636139116215","80.00226973268094","80.00226973268094","80.00226973268094","77.58332873498235","77.58332873498235","77.58332873498235","85.16718811258673","85.16718811258673","85.16718811258673"
"98000","5.153847783904324","5.153847783904324","5.153847783904324","80.77965821158264","80.77965821158264","80.77965821158264","82.39752539274096","82.39752539274096","82.39752539274096","82.63208880461647","82.63208880461647","82.63208880461647"
"99000","5.130021380331871","5.130021380331871","5.130021380331871","81.64804476421308","81.64804476421308","81.64804476421308","74.83651014445596","74.83651014445596","74.83651014445596","81.68885840042454","81.68885840042454","81.68885840042454"
"100000","5.523096944548617","5.523096944548617","5.523096944548617","82.91738539854188","82.91738539854188","82.91738539854188","83.46463761370157","83.46463761370157","83.46463761370157","80.90869573662981","80.90869573662981","80.90869573662981"
"101000","5.740142825745856","5.740142825745856","5.740142825745856","75.43656981648667","75.43656981648667","75.43656981648667","84.28156091666342","84.28156091666342","84.28156091666342","84.5713695584428","84.5713695584428","84.5713695584428"
"102000","5.742307376689681","5.742307376689681","5.742307376689681","86.55607590088356","86.55607590088356","86.55607590088356","84.1575167532082","84.1575167532082","84.1575167532082","84.73515360628836","84.73515360628836","84.73515360628836"
"103000","5.736536242090251","5.736536242090251","5.736536242090251","76.34338435582028","76.34338435582028","76.34338435582028","74.09014313697186","74.09014313697186","74.09014313697186","80.97989241247517","80.97989241247517","80.97989241247517"
"104000","10.000245580239364","10.000245580239364","10.000245580239364","83.13725940570754","83.13725940570754","83.13725940570754","79.56046735189932","79.56046735189932","79.56046735189932","81.81795839426096","81.81795839426096","81.81795839426096"
"105000","8.992022470422976","8.992022470422976","8.992022470422976","84.37478714817979","84.37478714817979","84.37478714817979","83.51060544610951","83.51060544610951","83.51060544610951","85.43120492218668","85.43120492218668","85.43120492218668"
"106000","19.862963020948406","19.862963020948406","19.862963020948406","79.28283745520261","79.28283745520261","79.28283745520261","80.83519172560504","80.83519172560504","80.83519172560504","72.76460047988527","72.76460047988527","72.76460047988527"
"107000","10.15253888138179","10.15253888138179","10.15253888138179","83.71639859398222","83.71639859398222","83.71639859398222","83.33491944107114","83.33491944107114","83.33491944107114","80.41251385785306","80.41251385785306","80.41251385785306"
"108000","10.700482835347021","10.700482835347021","10.700482835347021","85.54146534800799","85.54146534800799","85.54146534800799","82.01914572108755","82.01914572108755","82.01914572108755","84.66265058297557","84.66265058297557","84.66265058297557"
"109000","4.847962144066947","4.847962144066947","4.847962144066947","83.46734910082219","83.46734910082219","83.46734910082219","68.61828512940858","68.61828512940858","68.61828512940858","84.99122215795549","84.99122215795549","84.99122215795549"
"110000","70.01411016413593","70.01411016413593","70.01411016413593","78.89523379328641","78.89523379328641","78.89523379328641","74.30779780170877","74.30779780170877","74.30779780170877","79.76167031161584","79.76167031161584","79.76167031161584"
"111000","28.24852937539768","28.24852937539768","28.24852937539768","81.44720200052969","81.44720200052969","81.44720200052969","81.59826194430259","81.59826194430259","81.59826194430259","80.94480134610413","80.94480134610413","80.94480134610413"
"112000","44.566887528295126","44.566887528295126","44.566887528295126","88.04700071129764","88.04700071129764","88.04700071129764","83.43447655071368","83.43447655071368","83.43447655071368","87.42521591715737","87.42521591715737","87.42521591715737"
"113000","54.69935485976857","54.69935485976857","54.69935485976857","75.71954948144433","75.71954948144433","75.71954948144433","82.43125215136962","82.43125215136962","82.43125215136962","81.71378094746554","81.71378094746554","81.71378094746554"
"114000","70.35569052931993","70.35569052931993","70.35569052931993","77.8417427685827","77.8417427685827","77.8417427685827","73.96045606076423","73.96045606076423","73.96045606076423","80.25767413959689","80.25767413959689","80.25767413959689"
"115000","63.28745045194955","63.28745045194955","63.28745045194955","71.41540138410521","71.41540138410521","71.41540138410521","61.406249316512884","61.406249316512884","61.406249316512884","80.85018566187753","80.85018566187753","80.85018566187753"
"116000","52.14651805826909","52.14651805826909","52.14651805826909","77.3201916373895","77.3201916373895","77.3201916373895","77.4565028084896","77.4565028084896","77.4565028084896","85.54387792407466","85.54387792407466","85.54387792407466"
