"Step","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score__MAX"
"11000","-2.741726266487073","-2.741726266487073","-2.741726266487073","-3.1459214174253174","-3.1459214174253174","-3.1459214174253174","13.46928877111446","13.46928877111446","13.46928877111446","0.7405445836872103","0.7405445836872103","0.7405445836872103"
"12000","-2.880416635808569","-2.880416635808569","-2.880416635808569","-0.9851982192302966","-0.9851982192302966","-0.9851982192302966","31.53741047683646","31.53741047683646","31.53741047683646","0.40135149800162817","0.40135149800162817","0.40135149800162817"
"13000","-3.029417902832674","-3.029417902832674","-3.029417902832674","-0.059480696445828866","-0.059480696445828866","-0.059480696445828866","12.74988029405743","12.74988029405743","12.74988029405743","2.1950511560468415","2.1950511560468415","2.1950511560468415"
"14000","-2.1602572696322992","-2.1602572696322992","-2.1602572696322992","0.9178790468581357","0.9178790468581357","0.9178790468581357","34.16325807936778","34.16325807936778","34.16325807936778","1.3047525670505","1.3047525670505","1.3047525670505"
"15000","-2.016357852412037","-2.016357852412037","-2.016357852412037","-0.2702766108630595","-0.2702766108630595","-0.2702766108630595","27.15529217075205","27.15529217075205","27.15529217075205","10.042734043186751","10.042734043186751","10.042734043186751"
"16000","-2.5329639135288438","-2.5329639135288438","-2.5329639135288438","0.1769660207549282","0.1769660207549282","0.1769660207549282","26.82349905258594","26.82349905258594","26.82349905258594","12.34952212481164","12.34952212481164","12.34952212481164"
"17000","-3.2102688322094277","-3.2102688322094277","-3.2102688322094277","2.7021632656920174","2.7021632656920174","2.7021632656920174","45.322084096947115","45.322084096947115","45.322084096947115","8.239244039768009","8.239244039768009","8.239244039768009"
"18000","-3.2520781511936776","-3.2520781511936776","-3.2520781511936776","0.8490545035471829","0.8490545035471829","0.8490545035471829","44.57194690271456","44.57194690271456","44.57194690271456","17.891841277006872","17.891841277006872","17.891841277006872"
"19000","-1.0804469191957373","-1.0804469191957373","-1.0804469191957373","1.5491828841322048","1.5491828841322048","1.5491828841322048","45.76510047329613","45.76510047329613","45.76510047329613","24.203277080328508","24.203277080328508","24.203277080328508"
"20000","-2.0585365217540708","-2.0585365217540708","-2.0585365217540708","2.7226407103084327","2.7226407103084327","2.7226407103084327","45.14665088326077","45.14665088326077","45.14665088326077","13.641195037548162","13.641195037548162","13.641195037548162"
"21000","-3.1304878994155563","-3.1304878994155563","-3.1304878994155563","0.37457953881186956","0.37457953881186956","0.37457953881186956","46.08443802815418","46.08443802815418","46.08443802815418","27.570833754531986","27.570833754531986","27.570833754531986"
"22000","-2.0861650108673313","-2.0861650108673313","-2.0861650108673313","8.489324893489073","8.489324893489073","8.489324893489073","46.94925079522985","46.94925079522985","46.94925079522985","35.34760805946425","35.34760805946425","35.34760805946425"
"23000","-1.5841493996714842","-1.5841493996714842","-1.5841493996714842","7.066297729528268","7.066297729528268","7.066297729528268","45.30129905643588","45.30129905643588","45.30129905643588","28.29669501097392","28.29669501097392","28.29669501097392"
